name,neighbourhood,room_type,accommodates,property_type,amenities,price,is_available_next_2_days
"Hotel Rose, Metro View King Suite",Portland Downtown,Private room,2,Room in boutique hotel,"\"\"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Tommy Bahama body soap\"\"& \"\"Cable TV\"\"& \"\"Tommy Bahama conditioner\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Tommy Bahama shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Paid parking lot on premises\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"TV with standard cable\"\"& \"\"Mini fridge\"\"& \"\"Air conditioning\"\"& \"\"Lock on bedroom door\"\"& \"\"Keurig coffee machine\"\"\"",$220.00,True
"Hotel Rose, Waterfront King",Portland Downtown,Private room,2,Room in boutique hotel,"\"\"\"Elevator\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Paid parking on premises\"\"& \"\"Cable TV\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"TV with standard cable\"\"& \"\"Air conditioning\"\"& \"\"Lock on bedroom door\"\"& \"\"Cleaning before checkout\"\"\"",$120.00,True
PANO MT HOOD AND WILLAMETTE R VUE NR DNTN PORTLAND,South Portland,Private room,2,Private room in rental unit,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$199.00,True
Private Basement suite with patio on Mt Scott,Pleasant Valley,Private room,3,Private room in residential home,"\"\"\"Clothing storage: closet and dresser\"\"& \"\"Pour-over coffee\"\"& \"\"Coffee maker\"\"& \"\"Free street parking\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"HDTV with Netflix& premium cable& Roku\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Outdoor furniture\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Mini fridge\"\"& \"\"Free parking on premises\"\"& \"\"Bed linens\"\"& \"\"Lock on bedroom door\"\"& \"\"Private garden or backyard\"\"& \"\"Outdoor dining area\"\"& \"\"Fire extinguisher\"\"\"",$70.00,True
"Cozy, comfy quiet bedroom 15 mins to downtown",Ashcreek,Private room,2,Private room in residential home,"\"\"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Kitchen\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Breakfast\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Carbon monoxide alarm\"\"\"",$65.00,True
Cozy 1909 farm style home.,Mt. Tabor,Entire home/apt,4,Entire residential home,"\"\"\"Ethernet connection\"\"& \"\"Pour-over coffee\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Fire pit\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Clothing storage\"\"& \"\"Carbon monoxide alarm\"\"& \"\"First aid kit\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Sound system\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Lockbox\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$194.00,True
Some kind of beautiful private unit,Creston-Kenilworth,Entire home/apt,2,Entire guest suite,"\"\"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Fire extinguisher\"\"& \"\"Shared patio or balcony\"\"\"",$85.00,FALSE
Stunning Waterfront Pearl Condo,Pearl,Entire home/apt,4,Entire condominium (condo),"\"\"\"Elevator\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Breakfast\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"\"",$137.00,True
"Harlow Hotel, Deluxe Corner King Park View",Pearl,Private room,2,Room in boutique hotel,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$259.00,FALSE
"Harlow Hotel, Deluxe King City View",Pearl,Private room,2,Room in boutique hotel,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$259.00,FALSE
"Harlow Hotel, Deluxe Queen Courtyard View",Pearl,Private room,2,Room in boutique hotel,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$259.00,FALSE
"Harlow Hotel, Signature Double Twin Courtyard",Pearl,Private room,2,Room in boutique hotel,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Lock on bedroom door\"\"& \"\"Elevator\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"",$249.00,FALSE
"#InvestREPM Modern 2bed Multnomah Village & OHSU",Hillsdale,Entire home/apt,2,Entire residential home,"\"\"\"Portable fans\"\"& \"\"Single level home\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Cleaning before checkout\"\"& \"\"Extra pillows and blankets\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Conditioner\"\"& \"\"Babysitter recommendations\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Children\\u2019s dinnerware\"\"& \"\"Baby safety gates\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Shared patio or balcony\"\"\"",$98.00,True
"Charming 3 bed, 2 bath Portland/ Multnomah Village",Multnomah,Entire home/apt,6,Entire residential home,"\"\"\"Single level home\"\"& \"\"Children\\u2019s books and toys\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Game console\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Window guards\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$104.00,True
Artist #2–Just Steps from the Max,Kenton,Entire home/apt,2,Entire condominium (condo),"\"\"\"Security cameras on property\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Keypad\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Crib\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$111.00,True
Cozy private room,Hazelwood,Private room,2,Private room in townhouse,"\"\"\"Security cameras on property\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Lock on bedroom door\"\"& \"\"Fire extinguisher\"\"\"",$30.00,FALSE
"Exclusive Use of an 8,000 sq. ft. Historic Mansion",Irvington,Entire home/apt,12,Entire residential home,"\"\"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"TV\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Fire extinguisher\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Private entrance\"\"\"","$1,200.00",True
Dreamer #6–Just Steps from the Max,Kenton,Entire home/apt,6,Entire condominium (condo),"\"\"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Keypad\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Crib\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"\"",$150.00,FALSE
SW Portland Home less than 10 min from downtown,Hayhurst,Entire home/apt,5,Entire residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Hot tub\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$300.00,True
Cozy Little Nest in SE Portland,Sunnyside,Entire home/apt,2,Entire residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Gas stove\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Toaster\"\"& \"\"Dining table\"\"& \"\"Fire extinguisher\"\"\"",$88.00,True
KEX Portland-Sixteen Bed Room,Kerns,Private room,16,Room in boutique hotel,"\"\"\"Elevator\"\"& \"\"Hair dryer\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Bidet\"\"& \"\"Clothing storage\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Conditioner\"\"& \"\"Paid parking lot off premises\"\"& \"\"Building staff\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Bed linens\"\"& \"\"Fire extinguisher\"\"\"",$399.00,FALSE
Best Neighborhood in Town! 11,Northwest District,Entire home/apt,2,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Bed linens\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"\"",$63.00,FALSE
Hotel Lucia,Portland Downtown,Hotel room,4,Room in hotel,"\"\"\"Self parking for a fee\"\"& \"\"Coffee maker\"\"& \"\"Dedicated workspace\"\"& \"\"Toiletries\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Free wifi\"\"& \"\"Fitness center\"\"& \"\"House bikes\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Crib\"\"& \"\"Hangers\"\"& \"\"Safe\"\"& \"\"Bed sheets and pillows\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Smoke alarm\"\"& \"\"Mini fridge\"\"& \"\"Pets allowed\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Concierge\"\"& \"\"Limited housekeeping \\u2014 on request\"\"& \"\"Nespresso machine\"\"& \"\"Fire extinguisher\"\"\"",$0.00,FALSE
"2 Master Suites*Walk to Dine, Drink & Shop!",Richmond,Entire home/apt,5,Entire residential home,"\"\"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Baking sheet\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$250.00,FALSE
Pearl District Condo w/included garage parking,Pearl,Entire home/apt,2,Entire condominium (condo),"\"\"\"Portable fans\"\"& \"\"Single level home\"\"& \"\"Security cameras on property\"\"& \"\"Ethernet connection\"\"& \"\"Pour-over coffee\"\"& \"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"LG French Door refrigerator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Central air conditioning\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Washer \\u2013\\u00a0In unit\"\"& \"\"Heating\"\"& \"\"Private patio or balcony\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Oven\"\"& \"\"Paid parking off premises\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Dryer \\u2013\\u00a0In unit\"\"& \"\"Dishwasher\"\"& \"\"Baking sheet\"\"\"",$93.00,FALSE
6 Bedroom/3 Bath Ideal for Corporate Groups,Hazelwood,Entire home/apt,12,Entire residential home,"\"\"\"Portable fans\"\"& \"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Barbecue utensils\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"BBQ grill\"\"& \"\"Clothing storage\"\"& \"\"Carbon monoxide alarm\"\"& \"\"First aid kit\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Dedicated workspace: desk and office chair\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Hot water kettle\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Bread maker\"\"& \"\"Free parking on premises\"\"& \"\"Air conditioning\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Children\\u2019s dinnerware\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"Rice maker\"\"& \"\"Fire extinguisher\"\"\"",$500.00,True
"GROUP ESCAPE! TWO COMFY UNITS, POOL, PARKING",Parkrose,Private room,8,Room in hotel,"\"\"\"Coffee maker\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Paid parking on premises\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Building staff\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"TV with standard cable\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Bed linens\"\"& \"\"Fire extinguisher\"\"& \"\"Pool\"\"\"",$245.00,True
A home you will love | 1BR in Portland,Portland Downtown,Entire home/apt,3,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Patio or balcony\"\"\"",$152.00,True
